"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","10n","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C5, C6, C9","3","15n box","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"5","C7","1","220n","Capacitor_SMD:C_0805_2012Metric","","",""
"6","C8","1","5.6n","Capacitor_SMD:C_0805_2012Metric","","",""
"7","C10","1","3.3n","Capacitor_SMD:C_0805_2012Metric","","",""
"8","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"9","D3, D4, D5, D6, D7","5","1N4048","Diode_SMD:D_SOD-323_HandSoldering","","",""
"10","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"11","J2","1","GATE","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"12","J3","1","ACCENT CV","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"13","J4","1","PITCH CV","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"14","J5","1","OUTPUT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"15","Q1","1","BCM857DS,135","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","",""
"16","Q2","1","BC547C","Package_TO_SOT_THT:TO-92_Inline_Wide","","",""
"17","Q3","1","BCM847DS,135","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","",""
"18","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"19","R3","1","39K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R4, R20","2","33K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R5, R6, R9, R15","4","100K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R7","1","22K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R8","1","120K","Resistor_SMD:R_0805_2012Metric","","",""
"24","R10","1","15K","Resistor_SMD:R_0805_2012Metric","","",""
"25","R11, R16","2","1M","Resistor_SMD:R_0805_2012Metric","","",""
"26","R12, R14","2","10K","Resistor_SMD:R_0805_2012Metric","","",""
"27","R13","1","2.2K","Resistor_SMD:R_0805_2012Metric","","",""
"28","R17, R18","2","47K","Resistor_SMD:R_0805_2012Metric","","",""
"29","R19","1","470K","Resistor_SMD:R_0805_2012Metric","","",""
"30","R21","1","1K","Resistor_SMD:R_0805_2012Metric","","",""
"31","RV1, RV7","2","B100K","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"32","RV2","1","B10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"33","RV3, RV4","2","B100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"34","RV5","1","B1M","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"35","RV6","1","B50K","Eurorack:Potentiometer_RV16AF-41-15R1","","",""
"36","U1","1","TL074","Package_SO:SOIC-14-16_3.9x9.9mm_P1.27mm","","",""
